Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croatia,Share of Govt Spending,Central Europe,12.10%,9.20%,6.80%,6.30%,5.70%,4.30%,3.70%,3.90%,3.70%,3.60%,4.10%,3.80%,3.60%,3.60%,3.60%,3.40%,3.30%,3.20%,2.90%,3.10%,3.10%
Czechia,Share of Govt Spending,Central Europe,4.20%,4.50%,4.60%,4.10%,4.10%,3.80%,4.00%,4.20%,3.80%,3.50%,3.00%,3.00%,2.80%,2.50%,2.40%,2.40%,2.30%,2.30%,2.50%,2.50%,2.80%
Czechoslovakia,Share of Govt Spending,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,Share of Govt Spending,Central Europe,2.70%,3.10%,3.80%,4.30%,4.60%,5.00%,5.00%,5.60%,5.50%,5.90%,5.30%,4.80%,4.20%,4.50%,4.80%,5.00%,5.10%,5.10%,5.30%,5.20%,5.10%
German DR,Share of Govt Spending,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,Share of Govt Spending,Central Europe,2.50%,2.90%,3.20%,3.30%,3.10%,3.40%,3.00%,2.90%,2.40%,2.60%,2.40%,2.20%,2.10%,2.10%,2.10%,1.90%,1.70%,1.80%,2.20%,2.20%,2.20%
Kosovo,Share of Govt Spending,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.10%,1.70%,2.30%,2.60%,2.30%,2.50%,2.70%,2.90%,2.80%,2.70%,2.70%
Latvia,Share of Govt Spending,Central Europe,1.60%,1.90%,2.40%,3.00%,4.50%,4.90%,4.80%,4.70%,5.10%,4.70%,4.50%,3.20%,2.50%,2.70%,2.40%,2.50%,2.50%,2.80%,4.00%,4.60%,5.20%
Lithuania,Share of Govt Spending,Central Europe,3.30%,2.50%,3.40%,3.90%,3.80%,3.50%,3.60%,3.50%,3.50%,3.20%,3.10%,2.50%,2.10%,1.90%,2.20%,2.20%,2.60%,3.30%,4.40%,5.30%,5.80%
Montenegro,Share of Govt Spending,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,7.10%,5.40%,4.00%,3.70%,3.60%,3.90%,3.90%,3.60%,3.20%,3.30%,3.00%,3.00%,2.90%,3.20%
North Macedonia,Share of Govt Spending,Central Europe,6.40%,5.20%,5.80%,16.30%,6.90%,6.50%,7.00%,6.20%,5.80%,6.20%,5.20%,5.00%,4.30%,4.00%,3.70%,3.70%,3.40%,3.10%,3.10%,3.10%,3.10%
Poland,Share of Govt Spending,Central Europe,4.60%,4.50%,4.40%,4.20%,4.20%,4.20%,4.30%,4.30%,4.30%,4.60%,4.00%,4.00%,4.00%,4.10%,4.20%,4.20%,4.50%,5.10%,4.70%,4.60%,4.80%
Romania,Share of Govt Spending,Central Europe,8.50%,7.60%,7.20%,7.40%,7.10%,6.80%,6.10%,6.20%,5.40%,4.30%,4.00%,3.50%,3.30%,3.50%,3.50%,3.80%,4.00%,4.20%,4.50%,5.60%,6.00%
Serbia,Share of Govt Spending,Central Europe,. .,. .,16.40%,11.90%,9.80%,8.20%,7.30%,5.70%,5.10%,5.30%,5.00%,5.00%,4.90%,4.80%,4.40%,4.50%,4.30%,4.30%,4.20%,4.60%,4.40%
Slovakia,Share of Govt Spending,Central Europe,3.80%,3.30%,3.20%,4.20%,3.90%,4.60%,4.40%,4.20%,4.10%,4.10%,4.00%,3.40%,3.00%,2.70%,2.70%,2.40%,2.40%,2.50%,2.70%,2.70%,3.00%
Slovenia,Share of Govt Spending,Central Europe,3.40%,3.00%,2.70%,3.10%,3.40%,3.40%,3.40%,3.40%,3.70%,3.60%,3.70%,3.50%,3.50%,2.80%,2.60%,1.90%,2.10%,2.10%,2.50%,2.50%,2.50%
Yugoslavia,Share of Govt Spending,Central Europe,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,Share of Govt Spending,Eastern Europe,. .,. .,. .,. .,. .,. .,. .,14.50%,14.70%,13.60%,15.30%,14.60%,16.30%,15.40%,16.00%,16.80%,16.40%,16.10%,15.10%,14.80%,20.90%
Azerbaijan,Share of Govt Spending,Eastern Europe,13.40%,13.50%,12.40%,13.80%,9.70%,11.20%,10.90%,10.20%,13.50%,11.00%,10.50%,9.60%,8.70%,13.80%,12.70%,12.00%,12.50%,14.10%,10.40%,10.60%,11.00%
Belarus,Share of Govt Spending,Eastern Europe,. .,. .,. .,32.80%,30.90%,28.90%,29.80%,32.20%,35.00%,32.40%,23.40%,25.70%,30.30%,30.40%,32.00%,31.50%,33.00%,30.70%,31.10%,29.60%,31.90%
Georgia,Share of Govt Spending,Eastern Europe,5.90%,4.50%,3.50%,4.30%,6.10%,6.50%,7.10%,15.00%,22.40%,32.20%,26.10%,15.70%,11.80%,11.20%,10.50%,9.50%,8.40%,7.30%,7.30%,6.90%,6.60%
Moldova,Share of Govt Spending,Eastern Europe,1.60%,1.50%,1.10%,1.40%,1.40%,1.20%,1.00%,1.10%,1.20%,1.20%,1.50%,1.00%,0.80%,0.80%,0.80%,0.90%,0.90%,0.90%,1.20%,1.00%,1.00%
Russia,Share of Govt Spending,Eastern Europe,6.90%,9.00%,10.80%,11.30%,11.10%,11.30%,11.20%,11.30%,11.20%,9.80%,9.90%,10.20%,10.10%,10.30%,10.80%,11.10%,11.80%,13.80%,14.80%,12.10%,11.40%
Ukraine,Share of Govt Spending,Eastern Europe,8.70%,11.20%,9.90%,7.80%,7.30%,7.30%,6.30%,6.30%,6.20%,6.50%,5.60%,6.10%,5.60%,4.90%,4.80%,5.00%,6.70%,9.20%,9.00%,7.80%,8.70%
Austria,Share of Govt Spending,Western Europe,1.80%,1.90%,1.90%,1.80%,1.70%,1.80%,1.70%,1.70%,1.60%,1.80%,1.70%,1.50%,1.60%,1.60%,1.50%,1.50%,1.40%,1.40%,1.50%,1.50%,1.50%
Belgium,Share of Govt Spending,Western Europe,2.80%,2.80%,2.70%,2.60%,2.50%,2.40%,2.30%,2.10%,2.20%,2.30%,2.40%,2.10%,2.00%,1.90%,1.90%,1.80%,1.80%,1.70%,1.70%,1.70%,1.80%
Cyprus,Share of Govt Spending,Western Europe,13.70%,8.10%,8.10%,8.80%,5.70%,4.90%,5.10%,5.10%,4.90%,4.50%,4.30%,4.30%,4.40%,4.10%,4.00%,3.80%,3.80%,4.20%,3.80%,4.40%,4.30%
Denmark,Share of Govt Spending,Western Europe,2.90%,2.90%,2.80%,2.90%,2.80%,2.70%,2.70%,2.60%,2.80%,2.60%,2.70%,2.40%,2.50%,2.30%,2.30%,2.20%,2.10%,2.00%,2.20%,2.20%,2.30%
Finland,Share of Govt Spending,Western Europe,2.80%,2.50%,2.60%,2.50%,2.40%,3.00%,3.00%,3.00%,3.00%,2.80%,2.90%,2.90%,2.70%,2.80%,2.70%,2.70%,2.50%,2.60%,2.60%,2.50%,2.60%
France,Share of Govt Spending,Western Europe,5.00%,5.00%,4.80%,4.70%,4.60%,4.70%,4.70%,4.50%,4.40%,4.30%,4.20%,4.40%,4.10%,4.00%,3.90%,3.90%,3.90%,4.00%,4.10%,4.20%,4.10%
Germany,Share of Govt Spending,Western Europe,3.10%,3.10%,3.20%,3.00%,3.00%,2.90%,2.90%,2.90%,2.80%,2.90%,2.90%,2.90%,2.90%,2.90%,3.00%,2.70%,2.70%,2.70%,2.70%,2.80%,2.80%
Greece,Share of Govt Spending,Western Europe,7.40%,7.30%,7.50%,7.10%,6.70%,5.40%,5.50%,6.20%,6.20%,5.70%,5.90%,6.00%,5.20%,4.60%,4.60%,4.60%,4.60%,4.80%,5.20%,5.30%,4.90%
Iceland,Share of Govt Spending,Western Europe,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ireland,Share of Govt Spending,Western Europe,2.40%,2.20%,2.30%,2.20%,1.90%,1.80%,1.70%,1.60%,1.50%,1.40%,1.40%,1.30%,0.90%,1.20%,1.20%,1.20%,1.20%,1.20%,1.20%,1.20%,1.30%
Italy,Share of Govt Spending,Western Europe,3.40%,3.60%,3.70%,3.50%,3.60%,3.60%,3.60%,3.40%,3.20%,3.10%,3.20%,3.00%,3.00%,3.00%,2.80%,2.80%,2.50%,2.40%,2.70%,2.80%,2.80%
Luxembourg,Share of Govt Spending,Western Europe,1.70%,1.60%,1.60%,2.00%,1.60%,1.50%,1.50%,1.50%,1.50%,1.50%,1.10%,1.00%,1.20%,1.00%,1.00%,1.00%,1.00%,1.20%,1.10%,1.30%,1.40%
Malta,Share of Govt Spending,Western Europe,. .,. .,1.50%,1.50%,1.50%,1.40%,1.60%,1.90%,1.50%,1.50%,1.50%,1.70%,1.60%,1.40%,1.30%,1.30%,1.20%,1.20%,1.40%,1.40%,1.30%
Netherlands,Share of Govt Spending,Western Europe,3.60%,3.70%,3.50%,3.40%,3.30%,3.30%,3.30%,3.40%,3.30%,3.30%,3.10%,3.00%,2.80%,2.80%,2.70%,2.60%,2.60%,2.60%,2.70%,2.70%,2.90%
Norway,Share of Govt Spending,Western Europe,4.60%,4.40%,4.20%,4.00%,4.50%,4.20%,4.20%,3.80%,3.60%,3.60%,3.50%,3.50%,3.40%,3.40%,3.30%,3.30%,3.30%,3.10%,3.20%,3.30%,3.40%
Portugal,Share of Govt Spending,Western Europe,4.40%,4.40%,4.30%,4.30%,4.40%,4.20%,4.30%,4.40%,4.30%,4.10%,4.10%,4.00%,3.80%,4.00%,3.90%,4.20%,3.50%,3.70%,3.90%,3.70%,4.10%
Spain,Share of Govt Spending,Western Europe,4.10%,4.40%,4.40%,4.20%,3.80%,3.70%,3.70%,3.60%,3.60%,3.50%,3.30%,2.90%,3.00%,2.90%,2.90%,2.80%,2.80%,2.90%,2.70%,3.00%,3.10%
Sweden,Share of Govt Spending,Western Europe,3.40%,3.40%,3.50%,3.30%,3.10%,3.00%,2.80%,2.80%,2.70%,2.70%,2.40%,2.30%,2.40%,2.30%,2.30%,2.20%,2.30%,2.20%,2.20%,2.10%,2.10%
Switzerland,Share of Govt Spending,Western Europe,3.60%,3.20%,3.20%,3.10%,2.80%,2.70%,2.60%,2.60%,2.50%,2.50%,2.40%,2.30%,2.20%,2.20%,2.10%,2.20%,2.00%,2.00%,2.10%,2.10%,2.10%
UK,Share of Govt Spending,Western Europe,6.60%,6.50%,6.30%,6.30%,6.30%,6.20%,6.00%,5.70%,5.60%,5.60%,5.60%,5.50%,5.30%,5.30%,5.10%,5.00%,4.80%,4.70%,4.70%,4.60%,4.60%
Bahrain,Share of Govt Spending,Middle East,17.60%,17.00%,17.20%,14.60%,14.50%,15.90%,15.50%,12.90%,12.90%,12.70%,11.80%,14.10%,11.50%,12.90%,12.00%,12.10%,15.60%,12.70%,13.30%,13.30%,10.90%
Egypt,Share of Govt Spending,Middle East,. .,. .,. .,. .,10.60%,10.40%,9.60%,9.00%,7.50%,7.60%,6.70%,6.20%,6.20%,6.00%,5.30%,4.70%,4.70%,5.20%,5.10%,4.40%,4.10%
Iran,Share of Govt Spending,Middle East,12.90%,12.60%,14.00%,14.50%,10.90%,12.10%,15.20%,14.10%,14.20%,14.00%,12.60%,15.30%,15.20%,13.00%,19.30%,15.60%,14.80%,15.40%,15.20%,16.00%,15.80%
Iraq,Share of Govt Spending,Middle East,. .,. .,. .,. .,. .,. .,1.80%,3.50%,3.80%,4.90%,4.10%,4.90%,5.50%,5.30%,4.40%,6.90%,6.70%,12.50%,8.40%,11.00%,8.40%
Israel,Share of Govt Spending,Middle East,. .,. .,15.10%,14.90%,16.20%,18.20%,18.60%,17.60%,17.50%,16.40%,15.60%,16.10%,15.50%,15.70%,15.00%,14.70%,15.30%,15.00%,12.20%,11.40%,11.10%
Jordan,Share of Govt Spending,Middle East,17.50%,18.60%,18.30%,17.80%,15.90%,16.10%,13.60%,12.30%,12.80%,16.00%,17.70%,18.50%,17.90%,15.20%,12.60%,12.50%,11.80%,12.80%,15.60%,16.20%,15.00%
Kuwait,Share of Govt Spending,Middle East,16.90%,16.90%,19.60%,17.90%,17.70%,17.70%,17.00%,15.40%,11.10%,11.90%,7.40%,9.40%,8.40%,9.00%,8.80%,8.60%,8.10%,9.20%,11.00%,10.90%,11.00%
Lebanon,Share of Govt Spending,Middle East,11.70%,13.60%,12.80%,14.20%,13.10%,13.00%,13.50%,14.20%,12.70%,13.20%,11.70%,12.60%,14.10%,14.10%,13.20%,14.30%,16.40%,15.80%,17.70%,15.10%,15.60%
Oman,Share of Govt Spending,Middle East,22.70%,22.00%,22.70%,24.60%,23.70%,23.40%,23.10%,25.20%,23.60%,21.90%,19.40%,18.20%,18.50%,18.70%,27.40%,24.80%,21.40%,21.50%,23.70%,21.50%,19.00%
Qatar,Share of Govt Spending,Middle East,. .,. .,. .,. .,12.50%,11.60%,8.40%,6.90%,6.20%,7.00%,8.70%,6.10%,4.90%,. .,. .,. .,. .,. .,. .,. .,. .
Saudi Arabia,Share of Govt Spending,Middle East,41.20%,37.40%,31.80%,30.90%,27.20%,26.20%,26.00%,27.50%,28.80%,29.00%,27.60%,25.90%,25.90%,22.00%,23.10%,25.30%,26.60%,32.70%,25.50%,30.70%,24.60%
Syria,Share of Govt Spending,Middle East,20.10%,20.70%,19.00%,18.90%,17.40%,19.10%,17.70%,17.80%,16.50%,15.90%,15.50%,15.10%,13.60%,. .,. .,. .,. .,. .,. .,. .,. .
Turkey,Share of Govt Spending,Middle East,. .,. .,9.20%,8.10%,9.20%,8.50%,7.70%,7.40%,7.00%,6.70%,6.50%,6.60%,6.40%,6.20%,6.00%,5.70%,5.70%,5.50%,5.90%,6.10%,7.10%
UAE,Share of Govt Spending,Middle East,20.60%,20.70%,26.20%,22.20%,22.90%,23.40%,26.00%,23.20%,20.60%,18.60%,16.70%,15.60%,18.70%,17.50%,17.40%,19.90%,17.00%,. .,. .,. .,. .
Yemen,Share of Govt Spending,Middle East,17.70%,18.30%,15.50%,18.00%,22.40%,19.40%,15.50%,13.20%,11.50%,12.00%,10.80%,16.10%,15.50%,16.50%,12.60%,13.20%,14.30%,. .,. .,. .,. .
Algeria,Military Expenditure,North Africa,"$1,910,962,052.47 ","$1,826,496,569.98 ","$1,881,163,649.12 ","$2,091,627,274.49 ","$2,100,602,520.77 ","$2,206,395,762.00 ","$2,802,224,794.13 ","$2,924,820,166.96 ","$3,093,978,245.37 ","$3,945,815,125.47 ","$5,172,336,907.04 ","$5,280,588,155.94 ","$5,671,309,117.31 ","$8,652,237,040.00 ","$9,326,287,144.04 ","$10,161,588,239.15 ","$9,724,379,971.92 ","$10,412,714,002.90 ","$10,217,081,699.57 ","$10,073,364,021.30 ","$9,583,724,288.37 "
Libya,Military Expenditure,North Africa,"$1,443,621,758.27 ","$1,153,487,088.49 ","$1,085,534,664.87 ","$819,747,993.60 ","$452,513,614.76 ","$541,401,766.52 ","$685,073,220.07 ","$690,930,769.35 ","$614,356,296.20 ","$639,137,046.19 ","$1,100,068,652.13 ",. .,. .,. .,"$2,987,413,407.73 ","$3,964,690,154.14 ","$3,755,658,597.93 ",. .,. .,. .,. .
Morocco,Military Expenditure,North Africa,"$1,444,959,716.46 ","$1,207,516,609.86 ","$859,151,483.21 ","$1,470,317,614.79 ","$1,474,874,326.26 ","$1,819,230,070.25 ","$1,937,523,821.55 ","$2,031,131,380.56 ","$2,134,594,876.06 ","$2,408,350,249.56 ","$2,944,958,472.74 ","$3,055,069,441.86 ","$3,160,804,832.03 ","$3,342,698,955.61 ","$3,402,700,835.84 ","$4,065,552,316.94 ","$4,048,610,929.37 ","$3,268,363,375.67 ","$3,327,031,889.65 ","$3,461,461,531.38 ","$3,696,856,944.74 "
Tunisia,Military Expenditure,North Africa,"$365,849,374.74 ","$357,013,395.38 ","$332,389,762.75 ","$335,647,906.81 ","$345,424,236.67 ","$407,385,561.06 ","$444,651,416.73 ","$468,464,579.98 ","$497,212,663.97 ","$490,650,558.78 ","$578,911,487.33 ","$564,775,933.70 ","$571,189,045.69 ","$715,239,597.10 ","$681,225,950.61 ","$759,358,881.24 ","$908,357,287.59 ","$979,494,041.93 ","$987,734,705.22 ","$858,949,581.26 ","$844,227,367.13 "
Angola,Military Expenditure,Sub-Saharan Africa,"$170,278,292.57 ","$1,066,588,789.23 ","$583,621,333.60 ","$404,299,139.99 ","$438,686,245.41 ","$670,021,164.43 ","$817,533,582.15 ","$1,365,055,398.69 ","$1,970,309,115.18 ","$2,032,432,883.43 ","$3,163,591,147.41 ","$3,311,193,245.28 ","$3,500,794,836.45 ","$3,639,496,373.54 ","$4,144,634,851.47 ","$6,090,751,702.01 ","$6,841,864,484.32 ","$3,608,299,114.62 ","$2,764,054,937.16 ","$3,062,872,913.98 ","$1,983,613,748.00 "
Benin,Military Expenditure,Sub-Saharan Africa,. .,"$17,843,134.39 ","$14,496,275.16 ","$13,112,535.62 ","$26,000,447.64 ","$34,544,046.80 ","$41,780,478.34 ","$44,706,029.56 ","$46,786,130.93 ",. .,"$64,724,601.11 ",. .,. .,. .,"$78,223,091.04 ","$86,003,157.64 ","$92,990,706.19 ","$90,896,085.89 ","$79,581,568.05 ","$116,142,782.37 ","$90,212,425.99 "
Botswana,Military Expenditure,Sub-Saharan Africa,"$181,051,047.36 ","$169,578,756.16 ","$184,718,394.61 ","$210,322,093.56 ","$223,549,258.83 ","$301,014,357.78 ","$314,038,897.14 ","$283,835,745.11 ","$272,934,274.75 ","$306,451,402.71 ","$332,400,254.29 ","$330,147,278.74 ","$348,672,725.29 ","$363,324,481.15 ","$326,874,161.65 ","$306,438,573.58 ","$346,281,450.25 ","$383,739,877.54 ","$514,463,449.23 ","$522,430,455.52 ","$529,481,041.98 "
Burkina Faso,Military Expenditure,Sub-Saharan Africa,"$39,494,738.56 ","$41,741,175.48 ","$36,658,539.05 ","$36,832,965.23 ","$42,468,449.96 ","$50,757,054.37 ","$65,684,242.41 ","$73,843,342.16 ","$72,632,867.33 ","$107,816,728.46 ","$116,999,586.87 ","$127,333,296.62 ","$123,700,474.68 ","$138,850,860.20 ","$147,729,698.92 ","$166,136,345.24 ","$177,166,954.89 ","$147,934,736.66 ","$149,467,363.23 ","$191,065,838.76 ","$312,467,610.99 "
Burundi,Military Expenditure,Sub-Saharan Africa,"$58,736,036.23 ","$50,571,188.26 ","$42,321,552.22 ","$53,230,373.11 ","$44,910,067.05 ","$43,413,201.31 ","$44,872,377.15 ","$49,557,129.38 ","$44,717,502.04 ","$46,308,706.22 ","$43,856,319.95 ",. .,. .,. .,"$58,966,662.28 ","$60,859,500.09 ","$62,177,294.74 ","$66,164,584.44 ","$66,462,843.08 ","$63,908,678.43 ","$65,436,595.26 "
Cameroon,Military Expenditure,Sub-Saharan Africa,"$137,245,911.53 ","$144,704,636.52 ","$123,034,343.85 ","$124,301,708.37 ","$145,626,610.50 ","$188,499,655.88 ","$221,107,924.70 ","$223,084,623.14 ","$256,927,843.33 ","$296,698,917.30 ","$346,586,125.66 ","$343,265,153.99 ","$354,054,397.84 ","$347,477,885.67 ","$354,447,463.11 ","$392,840,660.68 ","$401,529,079.82 ","$353,815,199.93 ","$387,437,830.87 ","$408,157,575.14 ","$429,892,180.57 "
Cape Verde,Military Expenditure,Sub-Saharan Africa,"$4,513,154.88 ","$5,004,734.21 ","$6,801,072.80 ","$4,638,556.17 ","$4,520,858.94 ","$5,782,831.64 ","$6,452,150.49 ","$7,082,416.55 ","$6,985,154.84 ","$7,943,659.59 ","$10,758,715.97 ","$8,402,927.29 ","$8,239,369.29 ","$9,757,536.56 ","$9,736,385.84 ","$9,815,667.26 ","$10,049,332.21 ","$8,922,219.46 ","$10,171,216.50 ","$9,354,384.17 ","$10,714,071.13 "
Central African Rep.,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,"$10,681,962.96 ","$15,018,926.36 ","$15,103,589.92 ","$15,396,194.65 ",. .,"$19,112,519.74 ","$31,511,483.79 ","$35,992,384.36 ","$51,585,274.50 ","$49,874,328.73 ","$42,746,025.19 ","$47,923,245.08 ","$38,407,006.26 ","$26,703,863.39 ","$26,832,998.82 ","$27,516,264.18 ","$30,951,301.32 "
Chad,Military Expenditure,Sub-Saharan Africa,"$16,103,004.99 ","$20,951,796.25 ","$21,349,034.24 ","$26,192,330.83 ","$34,290,403.85 ","$40,949,759.12 ","$50,540,901.22 ","$55,491,517.97 ","$222,991,451.36 ","$389,135,909.63 ","$611,426,848.74 ","$738,903,737.09 ","$615,817,007.45 ","$609,706,993.09 ",. .,"$726,459,396.00 ","$392,382,917.18 ","$220,982,331.56 ","$309,567,431.73 ","$219,081,031.37 ","$232,930,989.81 "
"Congo, Republic of",Military Expenditure,Sub-Saharan Africa,. .,. .,. .,"$54,445,943.53 ","$70,704,230.20 ","$93,776,668.96 ","$124,298,437.40 ","$100,916,074.53 ","$126,569,641.80 ","$168,079,588.20 ","$207,724,344.30 ",. .,"$218,390,920.64 ",. .,. .,"$367,057,323.29 ","$704,893,662.21 ",. .,"$501,812,144.94 ","$371,937,055.08 ","$292,260,465.25 "
"Congo, Dem. Rep.",Military Expenditure,Sub-Saharan Africa,"$26,629,667.19 ","$149,277,860.27 ","$132,883,821.70 ",. .,. .,"$78,708,031.88 ","$137,637,805.53 ","$165,205,060.90 ","$205,102,086.58 ","$205,217,223.03 ","$159,998,426.58 ","$122,378,010.98 ","$183,682,097.51 ","$238,787,546.59 ","$332,493,979.37 ","$374,475,561.35 ","$341,224,738.60 ","$491,276,856.54 ","$395,733,745.25 ","$295,236,074.32 ","$295,348,364.64 "
Côte d’Ivoire,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,. .,"$213,007,570.54 ","$250,811,588.44 ","$249,872,978.08 ","$267,360,247.85 ","$323,619,193.48 ","$368,910,574.92 ","$420,059,044.53 ","$387,692,139.95 ","$357,330,259.01 ","$407,596,534.12 ","$430,003,643.43 ","$521,260,479.56 ","$569,671,147.18 ","$602,538,731.24 ","$501,578,732.25 ","$607,848,217.88 "
Djibouti,Military Expenditure,Sub-Saharan Africa,"$26,704,778.84 ","$26,779,052.56 ","$26,025,061.75 ","$26,048,131.62 ","$33,250,994.54 ","$41,763,775.81 ","$37,355,742.99 ","$44,847,260.59 ","$49,515,814.11 ","$34,518,711.91 ","$36,274,835.28 ",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Equatorial Guinea,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,. .,. .,. .,"$196,314,371.74 ","$292,754,658.84 ","$371,927,587.86 ",. .,. .,. .,. .,"$166,540,254.64 ",. .,"$18,233,154.20 ",. .,. .
Eritrea,Military Expenditure,Sub-Saharan Africa,"$263,001,685.70 ","$272,856,734.58 ","$230,670,129.87 ","$166,550,245.37 ","$150,764,425.21 ","$181,583,669.00 ",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,Military Expenditure,Sub-Saharan Africa,"$458,549,925.45 ","$703,704,869.53 ","$617,541,613.63 ","$349,808,276.45 ","$288,932,333.46 ","$278,673,159.93 ","$311,038,748.99 ","$342,066,638.67 ","$345,687,017.02 ","$360,140,308.61 ","$388,187,596.75 ","$339,627,767.97 ","$303,617,033.09 ","$332,441,772.39 ","$366,539,017.67 ","$345,064,165.84 ","$414,476,025.83 ","$442,551,536.46 ","$490,177,248.53 ","$503,158,174.26 ","$496,621,069.68 "
Gabon,Military Expenditure,Sub-Saharan Africa,. .,. .,"$91,295,212.20 ","$90,036,137.23 ","$94,693,165.45 ","$108,396,421.20 ","$125,121,856.57 ","$118,111,430.46 ","$130,237,717.30 ",. .,. .,. .,"$268,738,503.91 ","$265,965,337.62 ","$278,143,957.13 ","$282,163,387.58 ","$208,124,753.50 ","$170,374,503.34 ","$202,815,390.68 ","$267,430,770.80 ","$261,217,395.06 "
Gambia,Military Expenditure,Sub-Saharan Africa,"$4,049,572.02 ","$3,519,056.44 ","$3,323,532.17 ","$2,454,230.20 ","$2,259,285.66 ","$1,997,861.94 ","$1,931,395.50 ","$2,985,085.07 ","$2,786,319.24 ","$4,547,026.14 ","$17,163,533.46 ","$7,095,299.58 ",. .,. .,"$11,173,079.86 ","$10,378,890.69 ","$14,599,956.87 ","$14,288,131.91 ",. .,. .,"$11,487,224.94 "
Ghana,Military Expenditure,Sub-Saharan Africa,"$57,453,085.66 ","$59,277,760.90 ","$50,882,608.24 ","$32,352,140.50 ","$36,975,481.34 ","$53,244,020.29 ","$56,353,842.99 ","$64,196,566.40 ","$75,732,607.93 ","$126,077,788.99 ","$113,668,160.25 ","$118,290,743.90 ","$122,480,468.48 ","$234,327,479.58 ","$337,260,972.70 ","$254,997,057.39 ","$252,653,419.00 ","$190,515,191.55 ","$161,751,874.26 ","$189,129,841.49 ","$218,444,253.59 "
Guinea,Military Expenditure,Sub-Saharan Africa,"$45,034,483.32 ","$55,211,186.39 ","$45,967,931.21 ","$87,718,398.82 ","$98,084,865.17 ","$84,133,949.31 ","$81,018,570.10 ",. .,. .,. .,. .,. .,. .,. .,"$168,913,357.47 ","$196,818,705.59 ","$196,945,589.75 ","$221,414,232.31 ","$161,856,744.45 ","$199,317,873.37 ","$209,150,578.32 "
Guinea-Bissau,Military Expenditure,Sub-Saharan Africa,"$2,900,235.95 ",. .,"$9,531,360.61 ","$6,183,163.52 ","$6,363,093.77 ","$7,505,161.73 ",. .,"$12,116,374.83 ",. .,. .,. .,"$13,744,583.70 ","$17,129,808.17 ","$17,519,804.35 ","$24,491,750.68 ","$21,710,792.65 ","$21,470,829.16 ","$17,036,943.11 ",. .,. .,. .
Kenya,Military Expenditure,Sub-Saharan Africa,"$171,964,013.27 ","$151,917,777.44 ","$165,584,735.25 ","$195,365,005.50 ","$213,894,508.00 ","$245,938,663.82 ","$259,807,840.72 ","$316,799,485.40 ","$375,807,203.25 ","$494,684,896.67 ","$580,011,940.68 ","$578,071,672.35 ","$622,049,847.79 ","$646,678,106.72 ","$840,072,589.96 ","$860,560,896.11 ","$819,044,152.77 ","$843,667,802.80 ","$933,103,002.55 ","$1,015,384,781.98 ","$1,097,458,153.05 "
Lesotho,Military Expenditure,Sub-Saharan Africa,"$27,807,021.35 ","$34,078,186.69 ","$30,555,503.52 ","$23,390,729.43 ","$19,559,896.40 ","$27,363,759.54 ","$31,386,955.10 ","$33,619,893.92 ","$35,224,579.31 ","$39,834,671.56 ","$27,350,681.86 ","$47,399,768.93 ","$70,661,037.37 ","$58,169,320.75 ","$53,240,145.82 ","$47,941,183.17 ","$47,693,200.77 ","$44,025,926.25 ","$41,489,543.36 ","$52,594,810.37 ","$51,064,347.75 "
Liberia,Military Expenditure,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,"$3,182,000.00 ","$8,025,000.00 ","$3,925,000.00 ","$3,486,000.00 ","$3,907,000.00 ","$7,193,000.00 ","$8,458,000.00 ","$13,271,000.00 ","$15,179,000.00 ","$15,111,500.00 ","$14,531,000.00 ","$14,799,000.00 ","$14,712,000.00 ","$15,334,000.00 ","$15,786,500.00 "
